,oid,tweet_cnt
154,528dbaba1b624f7eaf551d70,16
155,528dbad31b624f7eaf551d75,16
156,528dbae41b624f7eaf551d7b,17
157,528dbaf51b624f7eaf551d7d,16
158,528dbaf61b624f7eaf551d7f,7
159,528dbaf91b624f7eaf551d82,7
160,528dbb0c1b624f7eaf551d83,18
161,528dbb0d1b624f7eaf551d84,10
162,528dbb1b1b624f7eaf551d86,11
163,528dbb2b1b624f7eaf551d8b,17
164,528dbb5b1b624f7eaf551d91,7
165,528dbdd01b624f7eaf551da8,8
166,528dbe191b624f7eaf551db5,7
167,528dbee21b624f7eaf551deb,7
168,528dbf101b624f7eaf551df4,7
169,528dbfa41b624f7eaf551e0d,11
170,528e13131b624f40e4dd14e0,13
171,528e15661b624f42c429bb50,18
172,528e237b1b624f583f7690ab,7
173,528e350d1b624f719f3ead39,16
174,528e38931b624f785fcece4e,34
175,528e5f3b1b624f349668ae78,13
176,528e8cf01b624f7b71773ea5,8
177,528e8f481b624f7d6bd1b5f8,39
178,528e92cf1b624f07d3aafcdc,22
179,528e99d31b624f1565c5d39c,13
180,528e9aff1b624f16b3138d0b,47
181,528e9c2e1b624f17b9024ea1,9
182,528e9e8c1b624f19b79b08d5,10
183,528ea3331b624f23a96cfe26,16
184,528ea3341b624f23a96cfe27,41
185,528ea9141b624f2c4e93dcc7,12
186,528eab671b624f2ee129c0a6,31
187,528eadc91b624f38404a1412,11
188,528eb1431b624f3c2e177ff3,11
189,528eb7251b624f45cedc6f38,123
190,528eb84b1b624f46edcc2556,18
191,528ebbd01b624f4ff8cff553,13
192,528ec4021b624f5a33f1904e,10
193,528ec6591b624f5c18e2cc6b,29
194,528ec65c1b624f5c18e2cc6d,14
195,528ec8b31b624f5e0bd3ced5,28
196,528ecb0a1b624f6602086edb,37
197,528ecfbf1b624f69e3512834,20
198,529a81e11b624f3dac79244f,63
199,529b8be71b624f6e93f69b62,7
200,529bd48b1b624f6099e77f92,51
201,529bdf1c1b624f7337652fe8,18
202,529bf68a1b624f1598798a73,21
203,529d10f91b624f20bd5fc9a3,7
204,529d1f061b624f37603bad33,33
205,529d2abc1b624f4af9b3b8ff,7
206,529d30a41b624f55f23d3c1d,11
207,529d31c71b624f56d8689a00,13
208,529d31c71b624f56d8689a01,10
209,529d36751b624f5e2ca86e5a,9
210,52a500fb1b624f3b05b874e8,35
211,52a506d61b624f43659fafd3,45
212,52a510361b624f54b6271450,20
213,52a514e71b624f588a45fea0,44
214,52a55eba1b624f4ee766a353,10
215,52a605271b624f4f16cae545,14
216,52a664181b624f6a9e7a5e76,28
217,52a678011b624f0cd4b70bb1,27
218,52a6a5b41b624f54141fe69e,7
219,52a761371b624f595b77a82b,19
220,52a79bc91b624f32e4aeec9d,11
221,52a7ac301b624f50ef80130e,29
222,52a7ae891b624f52d93ecc35,53
223,52a7ae8e1b624f52d93ecc36,10
224,52a7bb6f1b624f6717d9ea9e,7
225,52a7c0231b624f6af5d68f8e,11
226,52a7c9821b624f7c50a6ae4b,9
227,52a7ce361b624f01cef561b7,14
228,52a7db151b624f1754fccae5,11
229,52a7e7f81b624f2c0499a49e,19
230,52a87cc61b624f6fbf33da99,21
231,52a8804d1b624f78e92d8afe,23
232,52a88e591b624f10e7a76f2f,21
233,52a890b51b624f12edc99699,7
234,52a898e71b624f1d7e3554ac,10
235,52a8b2b41b624f4646ca6093,12
236,52a8c3151b624f5d659b6939,35
237,52a8d7051b624f7e7d6f874b,11
238,52a8f0d11b624f2943840708,7
